f1_identifier,formula,f1-vdw_rad,efermi,formula2,f2_vdw_rad,efermi-2,f2_identifier,atoms,distance_d,Δn,prompt,completion
mp-673118,Sn3(P2O7)2,1.8,5.67,TiS2,2.0,4.23,mp-1008676,336.0,3.8,-5.47,"An interface between Sn3(P2O7)2 (Fermi level: 5.67 meV) and TiS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.8 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.6993
mp-758012,Mn3CoO8,2.05,5.67,MoS2,2.1,4.23,mp-1434,459.0,4.15,-6.97,"An interface between Mn3CoO8 (Fermi level: 5.67 meV) and MoS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.15 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.9416
mp-1101682,Na5SbO5,2.27,5.67,MoS2,2.1,4.23,mp-2815,388.0,4.37,-1.19,"An interface between Na5SbO5 (Fermi level: 5.67 meV) and MoS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.37 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.1740
mvc-159,V4ZnO8,2.05,5.67,MoSe2,2.1,4.23,mp-7581,234.0,4.15,-0.272,"An interface between V4ZnO8 (Fermi level: 5.67 meV) and MoSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.15 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-1.3020
mp-1023940,MoSe2,2.1,5.67,AlAgO3,1.84,4.23,mvc-15475,377.0,3.94,-1.43,"An interface between MoSe2 (Fermi level: 5.67 meV) and AlAgO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.94 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.3577
mp-27556,CsNbO3,2.2,5.67,NbS2,2.2,4.23,mp-1802,257.0,4.4,-5.42,"An interface between CsNbO3 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.4 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.6901
mp-655446,VS2,2.05,5.67,LaTi2O6,2.0,4.23,mp-1222717,474.0,4.05,-1.71,"An interface between VS2 (Fermi level: 5.67 meV) and LaTi2O6 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.05 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.5365
mp-4426,Li4SeO5,1.9,5.67,MoS2,2.1,4.23,mp-1018809,450.0,4,-2.44,"An interface between Li4SeO5 (Fermi level: 5.67 meV) and MoS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.8920
mp-557523,VS2,2.05,5.67,CaSiO3,2.31,4.23,mp-5096,420.0,4.36,-3.84,"An interface between VS2 (Fermi level: 5.67 meV) and CaSiO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.36 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.3455
mp-505187,K6Pb2O5,2.75,5.67,Hf3Te2,0,4.23,mp-28919,186.0,2.75,-4.87,"An interface between K6Pb2O5 (Fermi level: 5.67 meV) and Hf3Te2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 2.75 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.5831
mp-769173,PrOF,1.52,5.67,NbSe2,2.2,4.23,mp-2207,450.0,3.72,-1.02,"An interface between PrOF (Fermi level: 5.67 meV) and NbSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.72 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.0198
mp-754084,Cu2OF2,1.52,5.67,MoSe2,2.1,4.23,mp-1634,360.0,3.62,-2.99,"An interface between Cu2OF2 (Fermi level: 5.67 meV) and MoSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.62 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.0953
mp-759363,Ni3OF5,1.97,5.67,Te2Mo,2.1,4.23,mp-1025576,477.0,4.07,-0.625,"An interface between Ni3OF5 (Fermi level: 5.67 meV) and Te2Mo (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.07 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.4700
mp-676106,NdZr9O20,2.25,5.67,VS2,2.05,4.23,mp-557523,120.0,4.3,-4.34,"An interface between NdZr9O20 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.3 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.4679
mp-1025874,MoS2,2.1,5.67,CdSiO3,2.1,4.23,mp-1016879,444.0,4.2,-1.62,"An interface between MoS2 (Fermi level: 5.67 meV) and CdSiO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.2 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.4824
mp-1025572,WSe2,1.9,5.67,Rb4CO4,3.03,4.23,mp-551690,459.0,4.93,-0.474,"An interface between WSe2 (Fermi level: 5.67 meV) and Rb4CO4 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.93 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.7465
mp-613455,Yb(ReO4)3,1.52,5.67,ReS2,1.8,4.23,mp-1232344,275.0,3.32,-21.6,"An interface between Yb(ReO4)3 (Fermi level: 5.67 meV) and ReS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.32 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",3.0727
mp-554767,Mg2V2O7,2.05,5.67,HfS2,1.8,4.23,mp-985829,348.0,3.85,-1.89,"An interface between Mg2V2O7 (Fermi level: 5.67 meV) and HfS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.85 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.6366
mp-625718,Y(HO)3,2.3,5.67,NbSe2,2.2,4.23,mp-571133,304.0,4.5,-1.17,"An interface between Y(HO)3 (Fermi level: 5.67 meV) and NbSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.5 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.1570
mvc-10457,Mg(WO2)2,1.73,5.67,PdS2,1.8,4.23,mp-13682,390.0,3.53,-0.957,"An interface between Mg(WO2)2 (Fermi level: 5.67 meV) and PdS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.53 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.0440
mp-3800,Yb3Al5O12,1.84,5.67,NbS2,2.2,4.23,mp-632475,300.0,4.04,-9.45,"An interface between Yb3Al5O12 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.04 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.2460
mp-1027525,MoS2,2.1,5.67,AgPdO2,1.72,4.23,mp-997039,184.0,3.82,-0.23,"An interface between MoS2 (Fermi level: 5.67 meV) and AgPdO2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.82 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-1.4697
mp-1184833,HoRhO3,1.52,5.67,TaSe2,1.9,4.23,mp-1019276,336.0,3.42,-1.09,"An interface between HoRhO3 (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.42 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.0862
mp-5625,Ag2SO4,1.8,5.67,Te2Mo,2.1,4.23,mp-602,336.0,3.9,-5.02,"An interface between Ag2SO4 (Fermi level: 5.67 meV) and Te2Mo (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.9 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.6134
mp-765221,Mn6OF11,2.05,5.67,Zr3Te2,2.25,4.23,mp-1215393,408.0,4.3,-11,"An interface between Mn6OF11 (Fermi level: 5.67 meV) and Zr3Te2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.3 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.3979
mp-1178862,YbRe3O16,1.52,5.67,NbSe2,2.2,4.23,mp-2207,76.0,3.72,-9.58,"An interface between YbRe3O16 (Fermi level: 5.67 meV) and NbSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.72 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.2597
mp-1178763,VS2,2.05,5.67,CaTi2O4,2.31,4.23,mp-3463,94.0,4.36,-2.5,"An interface between VS2 (Fermi level: 5.67 meV) and CaTi2O4 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.36 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.9163
mp-551830,SrTiO3,2.49,5.67,PtS2,1.8,4.23,mp-762,492.0,4.29,-0.331,"An interface between SrTiO3 (Fermi level: 5.67 meV) and PtS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.29 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-1.1056
mp-554767,Mg2V2O7,2.05,5.67,PtSe2,1.9,4.23,mp-1115,230.0,3.95,-2.5,"An interface between Mg2V2O7 (Fermi level: 5.67 meV) and PtSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.95 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.9163
mp-625171,H7ClO3,1.75,5.67,VS2,2.05,4.23,mp-849060,108.0,3.8,-1.76,"An interface between H7ClO3 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.8 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.5653
mp-780865,Co3OF5,2.0,5.67,Zr9S2,2.25,4.23,mp-27191,268.0,4.25,-18.4,"An interface between Co3OF5 (Fermi level: 5.67 meV) and Zr9S2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.25 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.9124
mp-27556,CsNbO3,2.2,5.67,HfS2,1.8,4.23,mp-985829,375.0,4,-2.7,"An interface between CsNbO3 (Fermi level: 5.67 meV) and HfS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.9933
mp-1189569,Zn2PO5,1.8,5.67,Zr3Te2,2.25,4.23,mp-1215393,262.0,4.05,-4.43,"An interface between Zn2PO5 (Fermi level: 5.67 meV) and Zr3Te2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.05 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.4884
mp-1197808,CaSnO6,2.31,5.67,Ti13S24,2.0,4.23,mp-684731,69.0,4.31,-13.2,"An interface between CaSnO6 (Fermi level: 5.67 meV) and Ti13S24 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.31 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.5802
mp-1025799,MoSe2,2.1,5.67,GdThO3,1.52,4.23,mp-1184491,496.0,3.62,-2.75,"An interface between MoSe2 (Fermi level: 5.67 meV) and GdThO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.62 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.0116
mp-680683,CsB9O14,1.92,5.67,TaS2,1.8,4.23,mp-1072086,432.0,3.72,-3.47,"An interface between CsB9O14 (Fermi level: 5.67 meV) and TaS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.72 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.2442
mp-1025571,WS2,1.8,5.67,LaGaO3,1.87,4.23,mp-1078871,481.0,3.67,-3.41,"An interface between WS2 (Fermi level: 5.67 meV) and LaGaO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.67 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.2267
mp-764169,Mn6O7F5,2.05,5.67,VS2,2.05,4.23,mp-1013525,474.0,4.1,-0.818,"An interface between Mn6O7F5 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.1 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.2009
mp-30224,Si3(Cl4O)2,2.1,5.67,VS2,2.05,4.23,mp-849060,152.0,4.15,-4.59,"An interface between Si3(Cl4O)2 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.15 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.5239
mp-780868,Fe4O7F,2.0,5.67,Zr3S2,2.25,4.23,mp-1215419,393.0,4.25,-4.4,"An interface between Fe4O7F (Fermi level: 5.67 meV) and Zr3S2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.25 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.4816
mp-1027692,MoSe2,2.1,5.67,Cd2PbO4,1.52,4.23,mp-867731,38.0,3.62,-0.533,"An interface between MoSe2 (Fermi level: 5.67 meV) and Cd2PbO4 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.62 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.6292
mp-29150,La3MoO7,2.1,5.67,Te2Pd3,1.63,4.23,mp-613,468.0,3.73,-1.66,"An interface between La3MoO7 (Fermi level: 5.67 meV) and Te2Pd3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.73 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.5068
mp-1115,PtSe2,1.9,5.67,TbCoO3,2.0,4.23,mp-19802,405.0,3.9,-0.227,"An interface between PtSe2 (Fermi level: 5.67 meV) and TbCoO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.9 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-1.4828
mp-1115,PtSe2,1.9,5.67,ZnWO2,1.52,4.23,mvc-2884,440.0,3.42,-1.3,"An interface between PtSe2 (Fermi level: 5.67 meV) and ZnWO2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.42 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.2624
mp-23023,LaBrO,1.85,5.67,ZrTe2,2.25,4.23,mp-1018107,498.0,4.1,-0.294,"An interface between LaBrO (Fermi level: 5.67 meV) and ZrTe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.1 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-1.2242
mp-1821,WSe2,1.9,5.67,MnV2O4,2.05,4.23,mp-754298,442.0,3.95,-1.12,"An interface between WSe2 (Fermi level: 5.67 meV) and MnV2O4 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.95 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.1133
mp-1173104,TbPaO4,1.52,5.67,Pd7Se2,1.9,4.23,mp-618,402.0,3.42,-0.213,"An interface between TbPaO4 (Fermi level: 5.67 meV) and Pd7Se2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.42 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-1.5465
mp-767737,Co9Cu3O16,2.0,5.67,ReSe2,1.9,4.23,mp-541582,308.0,3.9,-0.423,"An interface between Co9Cu3O16 (Fermi level: 5.67 meV) and ReSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.9 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.8604
mp-850932,Mn3(OF2)2,2.05,5.67,HfSe2,1.9,4.23,mp-985831,306.0,3.95,-0.445,"An interface between Mn3(OF2)2 (Fermi level: 5.67 meV) and HfSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.95 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.8097
mp-1023937,WS2,1.8,5.67,Dy2MoO6,2.1,4.23,mp-17822,198.0,3.9,-11.9,"An interface between WS2 (Fermi level: 5.67 meV) and Dy2MoO6 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.9 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.4765
mp-2418,PdSe2,1.9,5.67,Sn3(OF)2,1.52,4.23,mp-753564,332.0,3.42,-0.4,"An interface between PdSe2 (Fermi level: 5.67 meV) and Sn3(OF)2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.42 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.9163
mp-1023924,MoS2,2.1,5.67,LaMnO3,2.05,4.23,mp-17554,219.0,4.15,-11.7,"An interface between MoS2 (Fermi level: 5.67 meV) and LaMnO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.15 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.4596
mp-7535,Li5AlO4,1.84,5.67,MoS2,2.1,4.23,mvc-7052,438.0,3.94,-2.66,"An interface between Li5AlO4 (Fermi level: 5.67 meV) and MoS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.94 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.9783
mp-760679,Cu3OF5,1.52,5.67,Te2Mo,2.1,4.23,mp-1025576,423.0,3.62,-1.08,"An interface between Cu3OF5 (Fermi level: 5.67 meV) and Te2Mo (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.62 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.0770
mp-759764,W(OF)2,1.52,5.67,VS2,2.05,4.23,mp-849080,75.0,3.57,-1.92,"An interface between W(OF)2 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.57 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.6523
mp-1023935,Te2Mo,2.1,5.67,Cs2V4O9,2.05,4.23,mp-560444,360.0,4.15,-0.905,"An interface between Te2Mo (Fermi level: 5.67 meV) and Cs2V4O9 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.15 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.0998
mp-1227236,CaCd3O4,2.31,5.67,TaSe2,1.9,4.23,mp-13870,266.0,4.21,-1.9,"An interface between CaCd3O4 (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.21 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.6419
mp-2418,PdSe2,1.9,5.67,Al4Bi2O9,1.84,4.23,mp-23426,318.0,3.74,-1.81,"An interface between PdSe2 (Fermi level: 5.67 meV) and Al4Bi2O9 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.74 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.5933
mp-3417,Ca(BO2)2,2.31,5.67,HfS2,1.8,4.23,mp-985829,176.0,4.11,-0.847,"An interface between Ca(BO2)2 (Fermi level: 5.67 meV) and HfS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.11 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.1661
mp-31039,Rb6Te2O9,3.03,5.67,TaSe2,1.9,4.23,mp-1019276,404.0,4.93,-2.96,"An interface between Rb6Te2O9 (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.93 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.0852
mp-1189569,Zn2PO5,1.8,5.67,VS2,2.05,4.23,mp-9561,318.0,3.85,-1.4,"An interface between Zn2PO5 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.85 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.3365
mp-1023926,Te2W,0,5.67,Na2(NiO2)5,2.27,4.23,mp-760161,456.0,2.27,-2.21,"An interface between Te2W (Fermi level: 5.67 meV) and Na2(NiO2)5 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 2.27 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.7930
mp-1197193,ThSO6,1.8,5.67,PdSe2,1.9,4.23,mp-2418,376.0,3.7,-2.07,"An interface between ThSO6 (Fermi level: 5.67 meV) and PdSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.7 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.7275
mp-28510,Li3BiO3,1.82,5.67,VSe2,2.05,4.23,mp-694,323.0,3.87,6.2e+04,"An interface between Li3BiO3 (Fermi level: 5.67 meV) and VSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.87 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",11.0349
mp-760244,Ca4Nb2O9,2.31,5.67,TiTe2,2.0,4.23,mp-1907,285.0,4.31,-4,"An interface between Ca4Nb2O9 (Fermi level: 5.67 meV) and TiTe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.31 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.3863
mp-27191,Zr9S2,2.25,5.67,La2SbO2,1.52,4.23,mp-1223121,418.0,3.77,-6.31,"An interface between Zr9S2 (Fermi level: 5.67 meV) and La2SbO2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.77 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.8421
mp-1102874,Ca3(ClO3)2,2.31,5.67,TaS2,1.8,4.23,mp-1690,23.0,4.11,-3.4,"An interface between Ca3(ClO3)2 (Fermi level: 5.67 meV) and TaS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.11 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.2238
mp-867731,Cd2PbO4,1.52,5.67,TaS2,1.8,4.23,mp-555037,495.0,3.32,-0.915,"An interface between Cd2PbO4 (Fermi level: 5.67 meV) and TaS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.32 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",-0.0888
mp-1094068,SrEr2O4,2.49,5.67,TaS2,1.8,4.23,mp-16226,194.0,4.29,-4.52,"An interface between SrEr2O4 (Fermi level: 5.67 meV) and TaS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.29 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.5085
mp-1095571,DyVO4,2.05,5.67,NbSe2,2.2,4.23,mp-643063,300.0,4.25,-2.07,"An interface between DyVO4 (Fermi level: 5.67 meV) and NbSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.25 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.7275
mp-555704,ReO2F3,1.52,5.67,Te2W,0,4.23,mp-1023926,126.0,1.52,-5.35,"An interface between ReO2F3 (Fermi level: 5.67 meV) and Te2W (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 1.52 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.6771
mp-753493,CeU5O12,1.52,5.67,Te2W,0,4.23,mp-1028586,132.0,1.52,-5.53,"An interface between CeU5O12 (Fermi level: 5.67 meV) and Te2W (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 1.52 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.7102
mp-611224,VS2,2.05,5.67,Ca2Cu9O13,2.31,4.23,mvc-1950,96.0,4.36,-2.1,"An interface between VS2 (Fermi level: 5.67 meV) and Ca2Cu9O13 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.36 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.7419
mvc-10218,MgSb4O9,1.73,5.67,TaSe2,1.9,4.23,mp-637232,372.0,3.63,-2.31,"An interface between MgSb4O9 (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.63 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.8372
mp-1411,TaS2,1.8,5.67,NaCoO2,2.27,4.23,mp-867515,446.0,4.07,-3.34,"An interface between TaS2 (Fermi level: 5.67 meV) and NaCoO2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.07 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.2060
mp-1079073,Pb2CO6,1.7,5.67,TaSe2,1.9,4.23,mp-13870,207.0,3.6,-3.46,"An interface between Pb2CO6 (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.6 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.2413
mp-771342,Gd2P4O13,1.8,5.67,NbSe2,2.2,4.23,mp-2207,62.0,4,-2.17,"An interface between Gd2P4O13 (Fermi level: 5.67 meV) and NbSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.7747
mp-28264,RbH3O2,3.03,5.67,MoS2,2.1,4.23,mvc-7052,174.0,5.13,-3.28,"An interface between RbH3O2 (Fermi level: 5.67 meV) and MoS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 5.13 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.1878
