f1_identifier,formula,f1-vdw_rad,efermi,formula2,f2_vdw_rad,efermi-2,f2_identifier,atoms,distance_d,Δn,prompt,abs_Δn,log(|Δn|),completion
mp-985831,HfSe2,1.9,5.67,CrPO4,2.05,4.23,mp-26918,204.0,3.95,-0.683,"An interface between HfSe2 (Fermi level: 5.67 meV) and CrPO4 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.95 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.683,-0.3812604194113469,-0.3813
mp-5282,AgCO2,1.72,5.67,HfSe2,1.9,4.23,mp-985831,440.0,3.62,-1.02,"An interface between AgCO2 (Fermi level: 5.67 meV) and HfSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.62 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.02,0.0198026272961797,0.0198
mp-9561,VS2,2.05,5.67,Gd2Sn2O7,1.52,4.23,mp-17064,345.0,3.57,-3.01,"An interface between VS2 (Fermi level: 5.67 meV) and Gd2Sn2O7 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.57 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",3.01,1.1019400787607845,1.102
mp-752527,Li(FeO2)3,2.0,5.67,NbS2,2.2,4.23,mp-1802,315.0,4.2,-2.65,"An interface between Li(FeO2)3 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.2 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.65,0.9745596399981308,0.9746
mp-1115,PtSe2,1.9,5.67,Mg2Mo3O8,2.1,4.23,mp-19139,309.0,4.0,-1.74,"An interface between PtSe2 (Fermi level: 5.67 meV) and Mg2Mo3O8 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.74,0.5538851132264376,0.5539
mp-11773,Nd3GaO6,1.87,5.67,Te2W,0.0,4.23,mp-1019322,144.0,1.87,-5.75,"An interface between Nd3GaO6 (Fermi level: 5.67 meV) and Te2W (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 1.87 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",5.75,1.749199854809259,1.749
mp-1016930,ZnGeO3,2.11,5.67,TiS2,2.0,4.23,mp-1077263,480.0,4.11,-1.06,"An interface between ZnGeO3 (Fermi level: 5.67 meV) and TiS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.11 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.06,0.0582689081239758,0.05827
mp-1238797,MoS2,2.1,5.67,PaBO3,1.92,4.23,mp-973877,461.0,4.02,-2.4,"An interface between MoS2 (Fermi level: 5.67 meV) and PaBO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.02 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.4,0.8754687373538999,0.8755
mp-850880,Fe4O5F3,2.0,5.67,NbS2,2.2,4.23,mp-774873,498.0,4.2,-1.22,"An interface between Fe4O5F3 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.2 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.22,0.1988508587451651,0.1989
mp-1023939,MoS2,2.1,5.67,V2Se3O11,2.05,4.23,mp-29173,312.0,4.15,-0.704,"An interface between MoS2 (Fermi level: 5.67 meV) and V2Se3O11 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.15 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.704,-0.3509769228240947,-0.351
mp-1101250,TlInO2,1.52,5.67,MoSe2,2.1,4.23,mp-1027692,192.0,3.62,-2.3,"An interface between TlInO2 (Fermi level: 5.67 meV) and MoSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.62 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.3,0.8329091229351039,0.8329
mp-1106239,MnBiO3,2.05,5.67,ReS2,1.8,4.23,mp-1232344,32.0,3.85,-0.226,"An interface between MnBiO3 (Fermi level: 5.67 meV) and ReS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.85 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.226,-1.487220279709851,-1.487
mp-672644,KNO3,2.75,5.67,Te2W,0.0,4.23,mp-22693,196.0,2.75,-5.23,"An interface between KNO3 (Fermi level: 5.67 meV) and Te2W (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 2.75 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",5.23,1.6544112780768316,1.654
mp-1078830,RbSeO3,3.03,5.67,Te2W,0.0,4.23,mp-1023942,314.0,3.03,-1.48,"An interface between RbSeO3 (Fermi level: 5.67 meV) and Te2W (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.03 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.48,0.3920420877760237,0.392
mp-760332,Sb6O5F8,1.52,5.67,NbS2,2.2,4.23,mp-1072712,388.0,3.72,-1.73,"An interface between Sb6O5F8 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.72 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.73,0.5481214085096876,0.5481
mp-4820,ZrSiO4,2.25,5.67,VS2,2.05,4.23,mvc-11241,312.0,4.3,-0.153,"An interface between ZrSiO4 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.3 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.153,-1.8773173575897013,-1.877
mp-27773,H5IO6,1.52,5.67,Ti3S2,2.0,4.23,mp-1217073,496.0,3.52,-18.0,"An interface between H5IO6 (Fermi level: 5.67 meV) and Ti3S2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.52 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",18.0,2.8903717578961645,2.89
mp-779078,Na2CoO3,2.27,5.67,NbS2,2.2,4.23,mp-1072712,384.0,4.47,-0.312,"An interface between Na2CoO3 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.47 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.312,-1.1647520911726548,-1.165
mp-1186,ZrS2,2.25,5.67,PrBeO3,1.53,4.23,mp-1186742,59.0,3.78,-0.846,"An interface between ZrS2 (Fermi level: 5.67 meV) and PrBeO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.78 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.846,-0.1672359193759138,-0.1672
mp-756050,TaCuO3,1.52,5.67,TaS2,1.8,4.23,mp-1690,419.0,3.32,-1.68,"An interface between TaCuO3 (Fermi level: 5.67 meV) and TaS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.32 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.68,0.5187937934151675,0.5188
mp-1184220,GaTeO3,1.87,5.67,Te2W,0.0,4.23,mp-1023942,453.0,1.87,-1.79,"An interface between GaTeO3 (Fermi level: 5.67 meV) and Te2W (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 1.87 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.79,0.5822156198526637,0.5822
mp-644492,LuNbO4,2.2,5.67,TaS2,1.8,4.23,mp-1072086,36.0,4.0,1760.0,"An interface between LuNbO4 (Fermi level: 5.67 meV) and TaS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1760.0,7.473069088032197,7.473
mp-672271,NbSe2,2.2,5.67,U(PO3)4,1.8,4.23,mp-27615,248.0,4.0,-1.93,"An interface between NbSe2 (Fermi level: 5.67 meV) and U(PO3)4 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.93,0.6575200029167941,0.6575
mp-553898,GePbO3,2.11,5.67,VSe2,2.05,4.23,mp-694,432.0,4.16,4570.0,"An interface between GePbO3 (Fermi level: 5.67 meV) and VSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.16 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",4570.0,8.42726848388825,8.427
mvc-13742,VS2,2.05,5.67,NaV6O11,2.27,4.23,mp-18528,288.0,4.32,-1.93,"An interface between VS2 (Fermi level: 5.67 meV) and NaV6O11 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.32 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.93,0.6575200029167941,0.6575
mp-752440,Co6O5F7,2.0,5.67,VTe2,2.05,4.23,mp-1008626,333.0,4.05,-2.85,"An interface between Co6O5F7 (Fermi level: 5.67 meV) and VTe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.05 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.85,1.0473189942805592,1.047
mp-625151,H7ClO3,1.75,5.67,Te2Mo,2.1,4.23,mp-1025576,486.0,3.85,-5.09,"An interface between H7ClO3 (Fermi level: 5.67 meV) and Te2Mo (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.85 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",5.09,1.6272778305624314,1.627
mp-1222717,LaTi2O6,2.0,5.67,NbSe2,2.2,4.23,mp-2207,399.0,4.2,-0.00878,"An interface between LaTi2O6 (Fermi level: 5.67 meV) and NbSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.2 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.00878,-4.735278871335112,-4.735
mp-10228,NbSe2,2.2,5.67,Cu(BiO2)2,1.52,4.23,mp-560165,118.0,3.72,-1.39,"An interface between NbSe2 (Fermi level: 5.67 meV) and Cu(BiO2)2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.72 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.39,0.3293037471426003,0.3293
mp-1078590,NaCO2,2.27,5.67,TaSe2,1.9,4.23,mp-13870,192.0,4.17,-3.08,"An interface between NaCO2 (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.17 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",3.08,1.1249295969854831,1.125
mp-849080,VS2,2.05,5.67,CsCr3O8,2.05,4.23,mp-573422,384.0,4.1,-0.144,"An interface between VS2 (Fermi level: 5.67 meV) and CsCr3O8 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.1 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.144,-1.9379419794061368,-1.938
mp-1027692,MoSe2,2.1,5.67,Eu2Fe2O5,2.0,4.23,mp-861621,423.0,4.1,-1.55,"An interface between MoSe2 (Fermi level: 5.67 meV) and Eu2Fe2O5 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.1 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.55,0.4382549309311553,0.4383
mp-648053,NaPO3,2.27,5.67,TaSe2,1.9,4.23,mp-7926,336.0,4.17,-4.03,"An interface between NaPO3 (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.17 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",4.03,1.3937663759585917,1.394
mp-560444,Cs2V4O9,2.05,5.67,NbS2,2.2,4.23,mp-774873,354.0,4.25,-1.32,"An interface between Cs2V4O9 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.25 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.32,0.2776317365982795,0.2776
mp-755631,MnCrO4,2.05,5.67,NbS2,2.2,4.23,mp-774873,156.0,4.25,-3.48,"An interface between MnCrO4 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.25 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",3.48,1.247032293786383,1.247
mvc-12587,Zn(CoO2)2,2.0,5.67,PdSe2,1.9,4.23,mp-2418,436.0,3.9,-1.2,"An interface between Zn(CoO2)2 (Fermi level: 5.67 meV) and PdSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.9 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.2,0.1823215567939546,0.1823
mp-1023924,MoS2,2.1,5.67,In(FeO2)2,2.0,4.23,mp-20693,255.0,4.1,-6.09,"An interface between MoS2 (Fermi level: 5.67 meV) and In(FeO2)2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.1 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",6.09,1.8066480817218056,1.807
mp-1018150,NbTe2,2.2,5.67,Be2Si2O5,2.1,4.23,mp-1183429,117.0,4.3,-0.353,"An interface between NbTe2 (Fermi level: 5.67 meV) and Be2Si2O5 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.3 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.353,-1.0412872220488405,-1.041
mp-28349,H2NO2,1.55,5.67,TiS2,2.0,4.23,mp-1072088,456.0,3.55,-1850.0,"An interface between H2NO2 (Fermi level: 5.67 meV) and TiS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.55 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1850.0,7.52294091807237,7.523
mp-28670,Ba2Bi2O5,1.52,5.67,NbSe2,2.2,4.23,mp-643063,354.0,3.72,-0.765,"An interface between Ba2Bi2O5 (Fermi level: 5.67 meV) and NbSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.72 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.765,-0.2678794451556012,-0.2679
mp-31121,HoScO3,2.11,5.67,MoSe2,2.1,4.23,mp-1634,240.0,4.21,-0.552,"An interface between HoScO3 (Fermi level: 5.67 meV) and MoSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.21 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.552,-0.5942072327050416,-0.5942
mp-1094068,SrEr2O4,2.49,5.67,TaS2,1.8,4.23,mp-1072086,57.0,4.29,-0.717,"An interface between SrEr2O4 (Fermi level: 5.67 meV) and TaS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.29 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.717,-0.3326794383825167,-0.3327
mp-558870,P3RuO9,1.8,5.67,TaS2,1.8,4.23,mp-1217915,194.0,3.6,1540.0,"An interface between P3RuO9 (Fermi level: 5.67 meV) and TaS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.6 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1540.0,7.339537695407674,7.34
mp-1178135,KLuO2,2.75,5.67,Te2Pt,0.0,4.23,mp-399,88.0,2.75,-2.82,"An interface between KLuO2 (Fermi level: 5.67 meV) and Te2Pt (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 2.75 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.82,1.0367368849500225,1.037
mp-1215419,Zr3S2,2.25,5.67,Ca2Sn9O13,2.31,4.23,mvc-2063,420.0,4.56,-0.527,"An interface between Zr3S2 (Fermi level: 5.67 meV) and Ca2Sn9O13 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.56 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.527,-0.6405547304407747,-0.6406
mp-770173,Mg2Mn3O8,2.05,5.67,VS2,2.05,4.23,mp-849080,493.0,4.1,-3.18,"An interface between Mg2Mn3O8 (Fermi level: 5.67 meV) and VS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.1 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",3.18,1.1568811967920856,1.157
mp-1023939,MoS2,2.1,5.67,Rb2Bi4O7,3.03,4.23,mp-556735,200.0,5.13,-6.72,"An interface between MoS2 (Fermi level: 5.67 meV) and Rb2Bi4O7 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 5.13 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",6.72,1.9050881545350584,1.905
mp-990436,ScClO,2.11,5.67,TiS2,2.0,4.23,mp-2156,417.0,4.11,-0.528,"An interface between ScClO (Fermi level: 5.67 meV) and TiS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.11 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.528,-0.6386589952758756,-0.6387
mvc-10457,Mg(WO2)2,1.73,5.67,TaS2,1.8,4.23,mp-1217915,132.0,3.53,-4.89,"An interface between Mg(WO2)2 (Fermi level: 5.67 meV) and TaS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.53 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",4.89,1.5871923034867803,1.587
mp-5503,ErTaO4,1.52,5.67,MoSe2,2.1,4.23,mp-1025799,48.0,3.62,9710.0,"An interface between ErTaO4 (Fermi level: 5.67 meV) and MoSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.62 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",9710.0,9.18091156128537,9.181
mp-14005,KRuO4,2.75,5.67,NbS2,2.2,4.23,mp-966,150.0,4.95,-3.51,"An interface between KRuO4 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.95 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",3.51,1.2556160374777745,1.256
mvc-6403,Mg(CoO2)2,2.0,5.67,VTe2,2.05,4.23,mp-11687,282.0,4.05,-1.54,"An interface between Mg(CoO2)2 (Fermi level: 5.67 meV) and VTe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.05 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.54,0.4317824164255378,0.4318
mp-1003548,CaMn2O4,2.31,5.67,Te2Mo,2.1,4.23,mp-1025576,477.0,4.41,-0.312,"An interface between CaMn2O4 (Fermi level: 5.67 meV) and Te2Mo (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.41 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.312,-1.1647520911726548,-1.165
mp-1028441,WS2,1.8,5.67,Ba3FeO5,2.0,4.23,mp-30093,360.0,3.8,-0.678,"An interface between WS2 (Fermi level: 5.67 meV) and Ba3FeO5 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.8 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.678,-0.3886079910417414,-0.3886
mp-662535,PbSe2O5,1.9,5.67,TaS2,1.8,4.23,mp-1984,304.0,3.7,-1.39,"An interface between PbSe2O5 (Fermi level: 5.67 meV) and TaS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.7 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.39,0.3293037471426003,0.3293
mp-1025572,WSe2,1.9,5.67,TlHgO3,1.52,4.23,mp-1187530,488.0,3.42,-0.596,"An interface between WSe2 (Fermi level: 5.67 meV) and TlHgO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.42 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.596,-0.5175146119167874,-0.5175
mp-625541,Sn3(HO2)2,1.52,5.67,VTe2,2.05,4.23,mp-11687,171.0,3.57,-4.18,"An interface between Sn3(HO2)2 (Fermi level: 5.67 meV) and VTe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.57 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",4.18,1.430311246536665,1.43
mp-774547,Er2GeO5,2.11,5.67,TaSe2,1.9,4.23,mp-567724,165.0,4.01,-4.08,"An interface between Er2GeO5 (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.01 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",4.08,1.4060969884160703,1.406
mp-626136,H3ClO5,1.75,5.67,NbS2,2.2,4.23,mp-1802,423.0,3.95,-6.77,"An interface between H3ClO5 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.95 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",6.77,1.912501086924184,1.913
mp-568347,NbSe2,2.2,5.67,CdSiO3,2.1,4.23,mp-1016879,97.0,4.3,-1.49,"An interface between NbSe2 (Fermi level: 5.67 meV) and CdSiO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.3 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.49,0.3987761199573678,0.3988
mp-613,Te2Pd3,1.63,5.67,ThReO3,1.52,4.23,mp-1187556,240.0,3.15,-1.66,"An interface between Te2Pd3 (Fermi level: 5.67 meV) and ThReO3 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.15 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.66,0.5068176023684519,0.5068
mp-768472,Mn2(SO4)3,2.05,5.67,TaSe2,1.9,4.23,mp-1019276,226.0,3.95,-4.61,"An interface between Mn2(SO4)3 (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.95 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",4.61,1.5282278570085572,1.528
mp-5784,Na2GeO3,2.27,5.67,NbSe2,2.2,4.23,mp-672271,276.0,4.47,-2.48,"An interface between Na2GeO3 (Fermi level: 5.67 meV) and NbSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.47 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.48,0.9082585601768908,0.9083
mvc-16821,CaCr2O4,2.31,5.67,WS2,1.8,4.23,mp-1025571,477.0,4.11,-2.67,"An interface between CaCr2O4 (Fermi level: 5.67 meV) and WS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.11 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.67,0.9820784724121582,0.9821
mp-555287,Rb3FeO3,3.03,5.67,WSe2,1.9,4.23,mp-1023933,140.0,4.93,-1.48,"An interface between Rb3FeO3 (Fermi level: 5.67 meV) and WSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.93 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.48,0.3920420877760237,0.392
mp-655446,VS2,2.05,5.67,Ca2Mn3O8,2.31,4.23,mvc-8030,390.0,4.36,-2.24,"An interface between VS2 (Fermi level: 5.67 meV) and Ca2Mn3O8 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.36 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.24,0.8064758658669485,0.8065
mp-22345,TiCdO3,2.0,5.67,NbS2,2.2,4.23,mp-774873,440.0,4.2,-0.22,"An interface between TiCdO3 (Fermi level: 5.67 meV) and NbS2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.2 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.22,-1.5141277326297755,-1.514
mp-1185545,CsPbO3,1.52,5.67,Te2W,0.0,4.23,mp-1025573,470.0,1.52,-0.236,"An interface between CsPbO3 (Fermi level: 5.67 meV) and Te2W (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 1.52 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",0.236,-1.443923473956527,-1.444
mp-4525,SrRuO3,2.49,5.67,TaSe2,1.9,4.23,mp-7926,242.0,4.39,-1.16,"An interface between SrRuO3 (Fermi level: 5.67 meV) and TaSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.39 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",1.16,0.1484200051182732,0.1484
mp-31039,Rb6Te2O9,3.03,5.67,MoSe2,2.1,4.23,mp-1634,246.0,5.13,-3.16,"An interface between Rb6Te2O9 (Fermi level: 5.67 meV) and MoSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 5.13 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",3.16,1.1505720275988207,1.151
mp-1690,TaS2,1.8,5.67,Mg(SnO2)2,1.73,4.23,mvc-6497,301.0,3.53,-2.6,"An interface between TaS2 (Fermi level: 5.67 meV) and Mg(SnO2)2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 3.53 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",2.6,0.9555114450274363,0.9555
mp-753679,NbVO4,2.2,5.67,NbTe2,2.2,4.23,mp-11675,234.0,4.4,-3.41,"An interface between NbVO4 (Fermi level: 5.67 meV) and NbTe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.4 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",3.41,1.2267122912954254,1.227
mp-4820,ZrSiO4,2.25,5.67,WSe2,1.9,4.23,mp-1023936,498.0,4.15,-3.07,"An interface between ZrSiO4 (Fermi level: 5.67 meV) and WSe2 (Fermi level: 4.23 meV) is modeled as a parallel plate capacitor. The separation between the two surfaces is 4.15 Å, calculated as the sum of the maximum van der Waals radii of the constituent elements in both materials.",3.07,1.1216775615991057,1.122
